simulation_time,daily_demand,final_units_produced,external_demand,fulfilled_demand,ending_backlog,service_level,orders_created,shipments_created,shipments_delivered,disruptions,s6_production_starts,s6_production_completions,s6_throughput_per_day,s6_starved_days,s6_unstarted_units_due_to_storage,m1_production_starts,m1_production_completions,m1_throughput_per_day,m1_starved_days,m1_unstarted_units_due_to_storage,a1_production_starts,a1_production_completions,a1_throughput_per_day,a1_starved_days,a1_unstarted_units_due_to_storage,s1_disruption_count,s1_disrupted_days,s2_disruption_count,s2_disrupted_days,s3_disruption_count,s3_disrupted_days,s4_disruption_count,s4_disrupted_days,s5_disruption_count,s5_disrupted_days,s6_disruption_count,s6_disrupted_days,m1_disruption_count,m1_disrupted_days,a1_disruption_count,a1_disrupted_days,inventory_m1_propulsion_module_ending_on_hand,inventory_m1_propulsion_module_average_on_hand,inventory_m1_propulsion_module_maximum_on_hand,inventory_m1_propulsion_module_stockout_days,inventory_s6_motor_case_ending_on_hand,inventory_s6_motor_case_average_on_hand,inventory_s6_motor_case_maximum_on_hand,inventory_s6_motor_case_stockout_days,inventory_a1_final_modeled_unit_ending_on_hand,inventory_a1_final_modeled_unit_average_on_hand,inventory_a1_final_modeled_unit_maximum_on_hand,inventory_a1_final_modeled_unit_stockout_days,motor_cases_on_hand,propulsion_modules_on_hand,final_units_on_hand,random_seed,trial_number
365,1,203,365,205.0,160.0,0.5616438356164384,144,144,139,10,369,318,0.8712328767123287,31,40,215,204,0.5589041095890411,167,183,205,203,0.5561643835616439,195,232,0,0,0,0,0,0,0,0,0,0,9,50,1,3,0,0,1,1.5095890410958903,11,161,5,48.16986301369863,163,41,0.0,0.5589041095890411,4.0,211,5,1,0.0,1000,1
365,1,203,365,205.0,160.0,0.5616438356164384,137,137,134,9,365,308,0.8438356164383561,61,79,215,208,0.5698630136986301,168,186,208,203,0.5561643835616439,197,229,0,0,1,6,1,4,2,12,0,0,5,23,0,0,0,0,3,1.4657534246575343,9,177,69,38.45753424657534,128,49,0.0,0.5589041095890411,4.0,215,69,3,0.0,1001,2
365,1,189,365,191.0,174.0,0.5232876712328767,139,139,137,10,357,331,0.9068493150684932,80,103,200,197,0.5397260273972603,179,197,194,189,0.5178082191780822,207,243,0,0,0,0,0,0,5,28,1,9,3,11,1,4,0,0,6,1.3123287671232877,8,171,121,45.8027397260274,126,38,0.0,0.5205479452054794,3.0,225,121,6,0.0,1002,3
365,1,191,365,191.0,174.0,0.5232876712328767,132,132,130,12,355,306,0.8383561643835616,79,102,200,196,0.536986301369863,179,199,194,191,0.5232876712328767,207,239,0,0,0,0,0,0,3,22,3,15,3,13,1,2,2,4,1,1.284931506849315,10,171,153,51.02191780821918,153,37,2.0,0.5260273972602739,3.0,217,153,1,2.0,1003,4
365,1,209,365,210.0,155.0,0.5753424657534246,146,146,144,10,375,329,0.9013698630136986,57,73,220,215,0.589041095890411,164,178,214,209,0.5726027397260274,188,222,0,0,0,0,0,0,2,9,1,5,5,20,1,3,1,1,3,1.5753424657534247,10,154,158,53.81095890410959,158,41,1.0,0.5753424657534246,3.0,200,158,3,1.0,1004,5
365,1,213,365,214.0,151.0,0.5863013698630137,133,133,130,9,349,307,0.8410958904109589,87,112,226,215,0.589041095890411,154,170,218,213,0.5835616438356165,181,216,0,0,0,0,0,0,3,18,1,6,2,10,1,5,2,3,0,1.6575342465753424,10,157,31,41.64383561643836,137,40,1.0,0.5863013698630137,3.0,212,31,0,1.0,1005,6
365,1,197,365,197.0,168.0,0.5397260273972603,128,128,126,10,370,328,0.8986301369863013,51,65,201,200,0.547945205479452,182,200,202,197,0.5397260273972603,200,233,1,2,0,0,0,0,1,6,1,9,6,30,0,0,1,2,0,1.4958904109589042,8,172,110,49.0986301369863,137,40,2.0,0.5424657534246575,3.0,216,110,0,2.0,1006,7
365,1,201,365,203.0,162.0,0.5561643835616439,137,137,133,2,384,338,0.9260273972602739,70,90,213,200,0.547945205479452,171,188,203,201,0.5506849315068493,194,231,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,3,0,1.3972602739726028,10,172,111,50.12328767123287,137,44,0.0,0.5534246575342465,4.0,207,111,0,0.0,1007,8
365,1,207,365,208.0,157.0,0.5698630136986301,153,153,150,6,360,319,0.873972602739726,71,91,215,214,0.5863013698630137,163,181,212,207,0.5671232876712329,191,225,0,0,0,0,1,3,0,0,0,0,4,18,1,5,0,0,1,1.4219178082191781,10,147,22,47.8054794520548,151,40,1.0,0.5698630136986301,4.0,206,22,1,1.0,1008,9
365,1,206,365,206.0,159.0,0.5643835616438356,138,138,135,5,405,358,0.9808219178082191,38,48,215,213,0.5835616438356165,164,181,211,206,0.5643835616438356,191,226,0,0,0,0,0,0,0,0,0,0,3,16,2,5,0,0,3,1.526027397260274,9,159,154,53.58904109589041,154,43,2.0,0.5671232876712329,4.0,216,154,3,2.0,1009,10
